sc,u,n,c,t
timeline,1,100,none,0.179379
timeline,1,100,none,0.119313
post_tweet,1,100,none,0.231057
post_tweet,1,100,none,0.119126
like_tweet,1,100,none,0.207188
like_tweet,1,100,none,0.095273
right_to_info,1,100,none,0.083496
right_to_info,1,100,none,0.083404
privacy_notices,1,100,none,0.087264
privacy_notices,1,100,none,0.083267
give_consent,1,100,none,0.227296
give_consent,1,100,none,0.079232
revoke_consent,1,100,none,0.199045
revoke_consent,1,100,none,0.079211
special_consent,1,100,none,0.23123
special_consent,1,100,none,0.079215
request_rectification,1,100,none,0.218766
request_rectification,1,100,none,0.110794
request_erasure,1,100,none,0.226869
request_erasure,1,100,none,0.22289
request_objection,1,100,none,0.194934
request_objection,1,100,none,0.082854
timeline,10,1000,none,0.183336
timeline,10,1000,none,0.119116
post_tweet,10,1000,none,0.235035
post_tweet,10,1000,none,0.118877
follow_user,10,1000,none,0.219104
follow_user,10,1000,none,0.107119
like_tweet,10,1000,none,0.2112
like_tweet,10,1000,none,0.095058
send_message,10,1000,none,0.209887
send_message,10,1000,none,0.098119
right_to_info,10,1000,none,0.083472
right_to_info,10,1000,none,0.08737
privacy_notices,10,1000,none,0.087299
privacy_notices,10,1000,none,0.087283
give_consent,10,1000,none,0.223186
give_consent,10,1000,none,0.111198
revoke_consent,10,1000,none,0.19523
revoke_consent,10,1000,none,0.083232
special_consent,10,1000,none,0.223051
special_consent,10,1000,none,0.11521
request_rectification,10,1000,none,0.21493
request_rectification,10,1000,none,0.103042
request_erasure,10,1000,none,0.222969
request_erasure,10,1000,none,0.218702
request_objection,10,1000,none,0.194978
request_objection,10,1000,none,0.082948
timeline,100,10000,none,0.179112
timeline,100,10000,none,0.17952
post_tweet,100,10000,none,0.230936
post_tweet,100,10000,none,0.11895
follow_user,100,10000,none,0.219196
follow_user,100,10000,none,0.103241
like_tweet,100,10000,none,0.211035
like_tweet,100,10000,none,0.095079
send_message,100,10000,none,0.209979
send_message,100,10000,none,0.097909
right_to_info,100,10000,none,0.08333
right_to_info,100,10000,none,0.087332
privacy_notices,100,10000,none,0.087127
privacy_notices,100,10000,none,0.083293
give_consent,100,10000,none,0.227186
give_consent,100,10000,none,0.115127
revoke_consent,100,10000,none,0.199251
revoke_consent,100,10000,none,0.083118
special_consent,100,10000,none,0.223298
special_consent,100,10000,none,0.115203
request_rectification,100,10000,none,0.21486
request_rectification,100,10000,none,0.098885
request_erasure,100,10000,none,0.218873
request_erasure,100,10000,none,0.219017
request_objection,100,10000,none,0.194947
request_objection,100,10000,none,0.082923
