sc,u,n,c,t
timeline,1,100,none,0.131374
timeline,1,100,none,0.115324
post_tweet,1,100,none,0.211111
post_tweet,1,100,none,0.094927
like_tweet,1,100,none,0.195193
like_tweet,1,100,none,0.07909
right_to_info,1,100,none,0.079374
right_to_info,1,100,none,0.075421
privacy_notices,1,100,none,0.079307
privacy_notices,1,100,none,0.075208
give_consent,1,100,none,0.195132
give_consent,1,100,none,0.071213
revoke_consent,1,100,none,0.187114
revoke_consent,1,100,none,0.071172
special_consent,1,100,none,0.191245
special_consent,1,100,none,0.071172
request_rectification,1,100,none,0.190938
request_rectification,1,100,none,0.079002
request_erasure,1,100,none,0.191019
request_erasure,1,100,none,0.191041
request_objection,1,100,none,0.186919
request_objection,1,100,none,0.074886
timeline,10,1000,none,0.13127
timeline,10,1000,none,0.127261
post_tweet,10,1000,none,0.210905
post_tweet,10,1000,none,0.095057
follow_user,10,1000,none,0.20312
follow_user,10,1000,none,0.087154
like_tweet,10,1000,none,0.195151
like_tweet,10,1000,none,0.083252
send_message,10,1000,none,0.19806
send_message,10,1000,none,0.082028
right_to_info,10,1000,none,0.07539
right_to_info,10,1000,none,0.079381
privacy_notices,10,1000,none,0.079281
privacy_notices,10,1000,none,0.075311
give_consent,10,1000,none,0.191139
give_consent,10,1000,none,0.079231
revoke_consent,10,1000,none,0.187172
revoke_consent,10,1000,none,0.075173
special_consent,10,1000,none,0.19525
special_consent,10,1000,none,0.079088
request_rectification,10,1000,none,0.190912
request_rectification,10,1000,none,0.078941
request_erasure,10,1000,none,0.190912
request_erasure,10,1000,none,0.194829
request_objection,10,1000,none,0.186967
request_objection,10,1000,none,0.074947
timeline,100,10000,none,0.131372
timeline,100,10000,none,0.127429
post_tweet,100,10000,none,0.211018
post_tweet,100,10000,none,0.094896
follow_user,100,10000,none,0.203177
follow_user,100,10000,none,0.083179
like_tweet,100,10000,none,0.19935
like_tweet,100,10000,none,0.083069
send_message,100,10000,none,0.197958
send_message,100,10000,none,0.085967
right_to_info,100,10000,none,0.079218
right_to_info,100,10000,none,0.079333
privacy_notices,100,10000,none,0.08324
privacy_notices,100,10000,none,0.079211
give_consent,100,10000,none,0.195142
give_consent,100,10000,none,0.071116
revoke_consent,100,10000,none,0.187079
revoke_consent,100,10000,none,0.075341
special_consent,100,10000,none,0.195043
special_consent,100,10000,none,0.079229
request_rectification,100,10000,none,0.190977
request_rectification,100,10000,none,0.078987
request_erasure,100,10000,none,0.190893
request_erasure,100,10000,none,0.191034
request_objection,100,10000,none,0.186882
request_objection,100,10000,none,0.074916
