sc,u,n,c,t
timeline,1,100,none,0.187421
timeline,1,100,none,0.199298
post_tweet,1,100,none,0.250838
post_tweet,1,100,none,0.147023
like_tweet,1,100,none,0.219059
like_tweet,1,100,none,0.103078
right_to_info,1,100,none,0.091331
right_to_info,1,100,none,0.091438
privacy_notices,1,100,none,0.087164
privacy_notices,1,100,none,0.083208
give_consent,1,100,none,0.223087
give_consent,1,100,none,0.087158
revoke_consent,1,100,none,0.203079
revoke_consent,1,100,none,0.091139
special_consent,1,100,none,0.219079
special_consent,1,100,none,0.091105
request_rectification,1,100,none,0.218669
request_rectification,1,100,none,0.106898
request_erasure,1,100,none,0.222896
request_erasure,1,100,none,0.218791
request_objection,1,100,none,0.198998
request_objection,1,100,none,0.082895
timeline,10,1000,none,0.175411
timeline,10,1000,none,0.195437
post_tweet,10,1000,none,0.259007
post_tweet,10,1000,none,0.155068
follow_user,10,1000,none,0.235249
follow_user,10,1000,none,0.131247
send_message,10,1000,none,0.222
send_message,10,1000,none,0.109982
right_to_info,10,1000,none,0.08729
right_to_info,10,1000,none,0.087365
privacy_notices,10,1000,none,0.091123
privacy_notices,10,1000,none,0.091247
give_consent,10,1000,none,0.219189
give_consent,10,1000,none,0.111088
revoke_consent,10,1000,none,0.207234
revoke_consent,10,1000,none,0.091106
special_consent,10,1000,none,0.223309
special_consent,10,1000,none,0.107234
request_rectification,10,1000,none,0.222768
request_rectification,10,1000,none,0.110882
request_erasure,10,1000,none,0.222799
request_erasure,10,1000,none,0.223043
request_objection,10,1000,none,0.202869
request_objection,10,1000,none,0.090912
timeline,100,10000,none,0.171419
timeline,100,10000,none,0.1834
post_tweet,100,10000,none,0.263044
post_tweet,100,10000,none,0.154976
send_message,100,10000,none,0.217908
send_message,100,10000,none,0.109914
right_to_info,100,10000,none,0.087374
right_to_info,100,10000,none,0.09142
privacy_notices,100,10000,none,0.091124
privacy_notices,100,10000,none,0.091164
give_consent,100,10000,none,0.223043
give_consent,100,10000,none,0.119404
revoke_consent,100,10000,none,0.199251
revoke_consent,100,10000,none,0.103189
special_consent,100,10000,none,0.223085
special_consent,100,10000,none,0.11912
request_rectification,100,10000,none,0.219001
request_rectification,100,10000,none,0.110846
request_erasure,100,10000,none,0.222987
request_erasure,100,10000,none,0.222855
request_objection,100,10000,none,0.206948
request_objection,100,10000,none,0.087004
